WARD NAME,CONSTITUENCY,COUNTY NAME
ABAKAILE,DAADAB,GARISSA
ABOGETA EAST,SOUTH IMENTI,MERU
ABOGETA WEST,SOUTH IMENTI,MERU
ABOTHUGUCHI CENTRAL,CENTRAL IMENTI,MERU
ABOTHUGUCHI WEST,CENTRAL IMENTI,MERU
ADAMASAJIDE,WAJIR WEST,WAJIR
ADU,MAGARINI,KILIFI
AGENG'A NANGUBA,FUNYULA,BUSIA
AGUTHI-GAAKI,TETU,NYERI
AHERO,NYANDO,KISUMU
AINABKOI/OLARE,AINABKOI,UASIN GISHU
AINAMOI,AINAMOI,KERICHO
AIRBASE,KAMUKUNJI,NAIROBI
AIRPORT,CHANGAMWE,MOMBASA
AKACHIU,IGEMBE SOUTH,MERU
AKIRANG'ONDU,IGEMBE CENTRAL,MERU
AKITHII,TIGANIA WEST,MERU
ALALE,KACHELIBA,WEST POKOT
ALANGO GOF,LAFEY,MANDERA
AMALO,KURESOI SOUTH,NAKURU
AMUKURA CENTRAL,TESO SOUTH,BUSIA
AMUKURA EAST,TESO SOUTH,BUSIA
AMUKURA WEST,TESO SOUTH,BUSIA
AMWATHI,IGEMBE NORTH,MERU
ANGATA BARIKOI,KILGORIS,NAROK
ANGATA NANYOKIE,SAMBURU NORTH,SAMBURU
ANG'OROM,TESO SOUTH,BUSIA
ANG'URAI EAST,TESO NORTH,BUSIA
ANG'URAI NORTH,TESO NORTH,BUSIA
ANG'URAI SOUTH,TESO NORTH,BUSIA
ANTUAMBUI,IGEMBE NORTH,MERU
ANTUBETWE KIONGO,IGEMBE NORTH,MERU
ARABIA,MANDERA EAST,MANDERA
ARBAJAHAN,WAJIR WEST,WAJIR
ARROR,MARAKWET WEST,ELGEYO-MARAKWET
ASHABITO,MANDERA NORTH,MANDERA
ATHI,KITUI SOUTH,KITUI
ATHI RIVER,MAVOKO,MACHAKOS
ATHIRU GAITI,IGEMBE SOUTH,MERU
ATHIRU RUUJINE,IGEMBE CENTRAL,MERU
ATHWANA,TIGANIA WEST,MERU
AWASI/ONJIKO,NYANDO,KISUMU
BAAWA,SAMBURU NORTH,SAMBURU
BABA DOGO,RUARAKA,NAIROBI
BAHARI,LAMU WEST,LAMU
BAHATI,BAHATI,NAKURU
BALAMBALA,BALAMBALA,GARISSA
BAMBA,GANZE,KILIFI
BAMBURI,KISAUNI,MOMBASA
BANGALE,BURA,TANA RIVER
BANISSA,BANISSA,MANDERA
BANJA,HAMISI,VIHIGA
BARAGWI,GICHUGU,KIRINYAGA
BARAKI,LAGDERA,GARISSA
BARTABWA,BARINGO NORTH,BARINGO
BARUT,NAKURU TOWN WEST,NAKURU
BARWAGO,WAJIR EAST,WAJIR
BARWESSA,BARINGO NORTH,BARINGO
BASI BOGETAORIO,BOBASI,KISII
BASI CENTRAL,BOBASI,KISII
BASUBA,LAMU EAST,LAMU
BATALU,WAJIR NORTH,WAJIR
BATEI,POKOT SOUTH,WEST POKOT
BENANE,LAGDERA,GARISSA
BENANE,WAJIR SOUTH,WAJIR
BIASHARA,RUIRU,KIAMBU
BIASHARA,NAIVASHA,NAKURU
BIASHARA,NAKURU TOWN EAST,NAKURU
BIBIRIONI,LIMURU,KIAMBU
BIDII,KWANZA,TRANS NZOIA
BIRONGO,NYARIBARI CHACHE,KISII
BOBARACHO,NYARIBARI CHACHE,KISII
BOBASI BOITANGARE,BOBASI,KISII
BOBASI CHACHE,BOBASI,KISII
BOFU,LIKONI,MOMBASA
BOGEKA,KITUTU CHACHE SOUTH,KISII
BOGETENGA,SOUTH MUGIRANGO,KISII
BOGIAKUMU,BONCHARI,KISII
BOGICHORA,WEST MUGIRANGO,NYAMIRA
BOGUSERO,KITUTU CHACHE SOUTH,KISII
BOIKANG'A,SOUTH MUGIRANGO,KISII
BOITO,KONOIN,KONOIN
BOKEIRA,NORTH MUGIRANGO,NYAMIRA
BOKIMONGE,BOMACHOGE BORABU,KISII
BOKOLI,WEBUTE WEST,BUNGOMA
BOMANI,TAVETA,TAITA TAVETA
BOMARIBA,BONCHARI,KISII
BOMBABA BORABU,BOMACHOGE BORABU,KISII
BOMORENDA,BONCHARI,KISII
BOMWAGAMO,NORTH MUGIRANGO,NYAMIRA
BONYAMATUTA,WEST MUGIRANGO,NYAMIRA
BOOCHI BORABU,BOMACHOGE BORABU,KISII
BOOCHI/TENDERE,BOMACHOGE CHACHE,KISII
BORABU / CHITAGO,SOUTH MUGIRANGO,KISII
BOSAMARO,WEST MUGIRANGO,NYAMIRA
BOSOTI/SENGERA,BOMACHOGE CHACHE,KISII
BUKEMBE EAST,KANDUYI,BUNGOMA
BUKEMBE WEST,KANDUYI,BUNGOMA
BUKHAYO CENTRAL,NAMBALE,BUSIA
BUKHAYO EAST,NAMBALE,BUSIA
BUKHAYO NORTH/WALTSI,NAMBALE,BUSIA
BUKHAYO WEST,MATAYOS,BUSIA
BUKIRA CENTRL/IKEREGE,KURIA WEST,MIGORI
BUKIRA EAST,KURIA WEST,MIGORI
BULLA MPYA,MANDERA EAST,MANDERA
BULLA PESA,ISIOLO NORTH,ISIOLO
BUMULA,BUMULA,BUNGOMA
BUNYALA CENTRAL,BUDALANGI,BUSIA
BUNYALA CENTRAL,NAVAKHOLO,KAKAMEGA
BUNYALA EAST,NAVAKHOLO,KAKAMEGA
BUNYALA NORTH,BUDALANGI,BUSIA
BUNYALA SOUTH,BUDALANGI,BUSIA
BUNYALA WEST,BUDALANGI,BUSIA
BUNYALA WEST,NAVAKHOLO,KAKAMEGA
BURA,FAFI,GARISSA
BURA,MWATATE,TAITA TAVETA
BURAT,ISIOLO NORTH,ISIOLO
BURDER,WAJIR SOUTH,WAJIR
BURUMBA,MATAYOS,BUSIA
BUSALI,SABATIA,VIHIGA
BUSIBWABO,MATAYOS,BUSIA
BUTALI/CHEGULO,MALAVA,KAKAMEGA
BUTE,WAJIR NORTH,WAJIR
BUTIYE,MOYALE,MARSABIT
BUTSOTSO CENTRAL,LURAMBI,KAKAMEGA
BUTSOTSO EAST,LURAMBI,KAKAMEGA
BUTSOTSO SOUTH,LURAMBI,KAKAMEGA
BWAKE/LUUYA,KABUCHAI,BUNGOMA
BWIRI,FUNYULA,BUSIA
CALIFORNIA,KAMUKUNJI,NAIROBI
CENTRAL,KARACHUONYO,HOMA BAY
CENTRAL,MWINGI CENTRAL,KITUI
CENTRAL,NDARAGWA,NYANDARUA
CENTRAL  WARD,RUNYENJES,EMBU
CENTRAL ALEGO,ALEGO USONGA,SIAYA
CENTRAL BUNYORE,EMUHAYA,VIHIGA
CENTRAL GEM,GEM,SIAYA
CENTRAL KAMAGAMBO,RONGO,MIGORI
CENTRAL KANYAMKAGO,URIRI,MIGORI
CENTRAL KASIPUL,KASIPUL,HOMA BAY
CENTRAL KISUMU,KISUMU WEST,KISUMU
CENTRAL MARAGOLI,VIHIGA,VIHIGA
CENTRAL NYAKACH,NYAKACH,KISUMU
CENTRAL SAKWA,AWENDO,MIGORI
CENTRAL SAKWA,BONDO,SIAYA
CENTRAL SEME,SEME,KISUMU
CHAANI,CHANGAMWE,MOMBASA
CHAIK,BELGUT,KERICHO
CHAKOL NORTH,TESO SOUTH,BUSIA
CHAKOL SOUTH,TESO SOUTH,BUSIA
CHALA,TAVETA,TAITA TAVETA
CHANGAMWE,CHANGAMWE,MOMBASA
CHANIA,GATUNDU NORTH,KIAMBU
CHARAGITA,OL JOROK,NYANDARUA
CHARI,ISIOLO NORTH,ISIOLO
CHASIMBA,KILIFI SOUTH,KILIFI
CHAVAKALI,SABATIA,VIHIGA
CHAWIA,MWATATE,TAITA TAVETA
CHEBOIN,BURETI,KERICHO
CHEBUNYO,CHEPALUNGU,BOMET
CHEKALINI,LUGARI,KAKAMEGA
CHEMAGEL,SOTIK,BOMET
CHEMANER,BOMET EAST,BOMET
CHEMELIL,MUHORONI,KISUMU
CHEMELIL/CHEMASE,TINDERET,NANDI
CHEMOSOT,BURETI,KERICHO
CHEMUCHE,MALAVA,KAKAMEGA
CHEMUNDU/KAPNG'ETUNY,CHESUMEI,NANDI
CHENGONI/SAMBURU,KINANGO,KWALE
CHEPARERIA,POKOT SOUTH,WEST POKOT
CHEPCHABAS,KONOIN,KONOIN
CHEPCHOINA,ENDEBESS,TRANS NZOIA
CHEPKORIO,KEIYO SOUTH,ELGEYO-MARAKWET
CHEPKUMIA,EMGWEN,NANDI
CHEPKUNYUK,NANDI HILLS,NANDI
CHEPLANGET,BURETI,KERICHO
CHEPSEON,KIPKELION EAST,KERICHO
CHEPSIRO/KIPTOROR,CHERANGANY,TRANS NZOIA
CHEPTAIS,MT. ELGON,BUNGOMA
CHEPTERWAI,MOSOP,NANDI
CHEPTIRET/KIPCHAMO,KESSES,UASIN GISHU
CHEPTORORIET/SERETUT,BELGUT,KERICHO
CHEPYUK,MT. ELGON,BUNGOMA
CHERAB,ISIOLO NORTH,ISIOLO
CHERANG'ANY/CHEBORORWA,MARAKWET WEST,ELGEYO-MARAKWET
CHERANGANY/SUWERWA,CHERANGANY,TRANS NZOIA
CHESIKAKI,MT. ELGON,BUNGOMA
CHESOEN,BOMET CENTRAL,BOMET
CHEVAYWA,LUGARI,TRANS NZOIA
CHEWANI,GALOLE,TANA RIVER
CHEWELE,BURA,TANA RIVER
CHIAKARIGA,THARAKA,THARAKA-NITHI
CHILCHILA,KIPKELION WEST,KERICHO
CHINGA,OTHAYA,NYERI
CHOGORIA,MAARA,THARAKA-NITHI
CHULUNI,KITUI EAST,KITUI
CHURO/AMAYA,TIATY,BARINGO
CIANDA,KIAMBAA,KIAMBU
CLAY CITY,KASARANI,NAIROBI
DABASO,KILIFI NORTH,KILIFI
DADAAB,DAADAB,GARISSA
DADAJA BULLA,WAJIR SOUTH,WAJIR
DALALEKUTUK,KAJIADO CENTRAL,KAJIADO
DAMAJALE,DAADAB,GARISSA
DANABA,WAJIR NORTH,WAJIR
DANDORA AREA I,EMBAKASI NORTH,NAIROBI
DANDORA AREA II,EMBAKASI NORTH,NAIROBI
DANDORA AREA III,EMBAKASI NORTH,NAIROBI
DANDORA AREA IV,EMBAKASI NORTH,NAIROBI
DANDU,MANDERA WEST,MANDERA
DANYERE,BALAMBALA,GARISSA
DEDAN KIMANTHI,TETU,NYERI
DEKAHARIA,FAFI,GARISSA
DELLA,ELDAS,WAJIR
DERKHALE,BANISSA,MANDERA
DERTU,DAADAB,GARISSA
DIIF,WAJIR SOUTH,WAJIR
DUKANA,NORTH HORR,MARSABIT
DUNDORI,BAHATI,NAKURU
DZOMBO,LUNGALUNGA,KWALE
EAST ASEMBO,RARIEDA,SIAYA
EAST GEM,RANGWE,HOMA BAY
EAST GEM,GEM,SIAYA
EAST KABRAS,MALAVA,KAKAMEGA
EAST KAMAGAK,KASIPUL,HOMA BAY
EAST KAMAGAMBO,RONGO,MIGORI
EAST KANO/WAWIDHI,NYANDO,KISUMU
EAST KANYAMKAGO,URIRI,MIGORI
EAST SANG'ALO,KANDUYI,BUNGOMA
EAST SEME,SEME,KISUMU
EAST UGENYA,UGENYA,SIAYA
EAST WANGA,MUMIAS EAST,KAKAMEGA
EASTLEIGH NORTH,KAMUKUNJI,NAIROBI
EASTLEIGH SOUTH,KAMUKUNJI,NAIROBI
EKALAKALA,MASINGA,MACHAKOS
EKERENYO,NORTH MUGIRANGO,NYAMIRA
EL-BARTA,SAMBURU NORTH,SAMBURU
ELBEN,TARBAJ,WAJIR
ELBURGON,MOLO,NAKURU
ELDAS,ELDAS,WAJIR
ELEMENTAITA,GILGIL,NAKURU
ELGON,MT. ELGON,BUNGOMA
ELNUR/TULA TULA,ELDAS,WAJIR
ELUGULU,BUTULA,BUSIA
ELWAK SOUTH,MANDERA SOUTH,MANDERA
EMABUNGO,LUANDA,VIHIGA
EMALI/MULALA,KIBWEZI WEST,MAKUENI
EMBAKASI,EMBAKASI EAST,NAIROBI
EMBOMOS,KONOIN,KONOIN
EMINING,MOGOTIO,BARINGO
EMSOO,KEIYO NORTH,ELGEYO-MARAKWET
ENDAU/MALALANI,KITUI EAST,KITUI
ENDEBESS,ENDEBESS,TRANS NZOIA
ENDO,MARAKWET EAST,ELGEYO-MARAKWET
ENDUGH,KAPENGURIA,WEST POKOT
ENGINEER,KINANGOP,NYANDARUA
ENTONET/LENKISIM,KAJIADO SOUTH,KAJIADO
ESISE,BORABU,NYAMIRA
ETENJE,MUMIAS WEST,KAKAMEGA
EVURORE,MBEERE NORTH,EMBU
EWALEL/CHAPCHAP,BARINGO CENTRAL,BARINGO
EWUASO OoNKIDONG'I,KAJIADO WEST,KAJIADO
FAFI,FAFI,GARISSA
FAZA,LAMU EAST,LAMU
FINO,MANDERA EAST,MANDERA
FLAMINGO,NAKURU TOWN EAST,NAKURU
FRERE TOWN,NYALI,MOMBASA
GACHUBA,KITUTU MASABA,NYAMIRA
GAICHANJIRU,KANDARA,MURANG'A
GAKAWA,KIENI,NYERI
GALBET,GARISSA TOWNSHIP,GARISSA
GANDA,MALINDI,KILIFI
GANGA,MAARA,THARAKA-NITHI
GANYURE/WAGALLA,WAJIR WEST,WAJIR
GANZE,GANZE,KILIFI
GARASHI,MAGARINI,KILIFI
GARBATULLA,ISIOLO SOUTH,ISIOLO
GARSEN CENTRAL,GARSEN,TANA RIVER
GARSEN NORTH,GARSEN,TANA RIVER
GARSEN SOUTH,GARSEN,TANA RIVER
GARSEN WEST,GARSEN,TANA RIVER
GATANGA,GATANGA,MURANG'A
GATARAKWA,KIENI,NYERI
GATHANJI,OL JOROK,NYANDARUA
GATHARA,KINANGOP,NYANDARUA
GATHIGIRIRI,MWEA,KIRINYAGA
GATIMU,OL JOROK,NYANDARUA
GATINA,DAGORETTI NORTH,NAIROBI
GATITU/MURUGURU,NYERI TOWN,NYERI
GATUANYAGA,THIKA TOWN,KIAMBU
GATUNGA,THARAKA,THARAKA-NITHI
GATURI,KIHARU,MURANG'A
GATURI NORTH,MANYATTA,EMBU
GATURI SOUTH,MANYATTA,EMBU
GEMBE,MBITA,HOMA BAY
GESIMA,KITUTU MASABA,NYAMIRA
GESUSU,NYARIBARI MASABA,KISII
GETA,KIPIPIRI,NYANDARUA
GETENGA,SOUTH MUGIRANGO,KISII
GIKONDI,MUKURWEINI,NYERI
GILGIL,GILGIL,NAKURU
GISAMBAI,HAMISI,VIHIGA
GITARU,KABETE,KIAMBU
GITHABAI,KINANGOP,NYANDARUA
GITHER,MANDERA WEST,MANDERA
GITHIGA,GITHUNGURI,KIAMBU
GITHIGA,LAIKIPIA WEST,LAIKIPIA
GITHIORO,KIPIPIRI,NYANDARUA
GITHOBOKONI,GATUNDU NORTH,KIAMBU
GITHUNGURI,GITHUNGURI,KIAMBU
GITHURAI,ROYSAMBU,NAIROBI
GITOTHUA,RUIRU,KIAMBU
GITUAMBA,GATUNDU NORTH,KIAMBU
GITUGI,MATHIOYA,MURANG'A
GOD JOPE,SUNA EAST,MIGORI
GODOMA,WAJIR NORTH,WAJIR
GOKEHARAKA/GETAMBWEGA,KURIA EAST,MIGORI
GOLBO,MOYALE,MARSABIT
GOMBATO BONGWE,MSAMBWENI,KWALE
GONGONI,MAGARINI,KILIFI
GOREALE,LAGDERA,GARISSA
GOT KACHOLA,NYATIKE,MIGORI
GUBA,BANISSA,MANDERA
GURAR,WAJIR NORTH,WAJIR
GUTICHA,MANDERA NORTH,MANDERA
GWASSI NORTH,SUBA,HOMA BAY
GWASSI SOUTH,SUBA,HOMA BAY
HABASSWEIN,WAJIR SOUTH,WAJIR
HADADO/ATHIBOHOL,WAJIR WEST,WAJIR
HARAMBEE,MAKADARA,NAIROBI
HEILLU/MANYATTA,MOYALE,MARSABIT
HELLS GATE,NAIVASHA,NAKURU
HINDI,LAMU WEST,LAMU
HIRIMANI,BURA,TANA RIVER
HOMA BAY ARUJO,HOMA BAY TOWN,HOMA BAY
HOMA BAY CENTRAL,HOMA BAY TOWN,HOMA BAY
HOMA BAY EAST,HOMA BAY TOWN,HOMA BAY
HOMA BAY WEST,HOMA BAY TOWN,HOMA BAY
HONGWE,LAMU WEST,LAMU
HOSPITAL,THIKA TOWN,KIAMBU
HOSPITAL,MATHARE,NAIROBI
HOSPITAL,KIMININI,TRANS NZOIA
HULUGHO,IJARA,GARISSA
HURUMA,MATHARE,NAIROBI
HURUMA,TURBO,UASIN GISHU
IBENO,NYARIBARI CHACHE,KISII
IBRAHIM URE,WAJIR SOUTH,WAJIR
ICHAGAKI,MARAGWA,MURANG'A
ICHUNI,NYARIBARI MASABA,KISII
IDAKHO CENTRAL,IKOLOMANI,KAKAMEGA
IDAKHO EAST,IKOLOMANI,KAKAMEGA
IDAKHO NORTH,IKOLOMANI,KAKAMEGA
IDAKHO SOUTH,IKOLOMANI,KAKAMEGA
IFTIN,GARISSA TOWNSHIP,GARISSA
IGAMBANG'OMBE,CHUKA/IGAMBANG'OMBE,THARAKA-NITHI
IGEMBE EAST,IGEMBE CENTRAL,MERU
IGOJI EAST,SOUTH IMENTI,MERU
IGOJI WEST,SOUTH IMENTI,MERU
IGWAMITI,LAIKIPIA WEST,LAIKIPIA
IJARA,IJARA,GARISSA
IKANGA/KYATUNE,KITUI SOUTH,KITUI
IKINU,GITHUNGURI,KIAMBU
IKOMBE,YATTA,MACHAKOS
IKUTHA,KITUI SOUTH,KITUI
ILCHAMUS,BARINGO SOUTH,BARINGO
ILDAMAT,KAJIADO CENTRAL,KAJIADO
ILDAMAT,NAROK SOUTH,NAROK
ILIMA,KAITI,MAKUENI
ILKERIN,EMURUA DIKIRR,NAROK
ILLERET,NORTH HORR,MARSABIT
ILMOTIOK,NAROK WEST,NAROK
ILOODOKILANI,KAJIADO WEST,KAJIADO
IMARA DAIMA,EMBAKASI SOUTH,NAIROBI
IMARORO,KAJIADO EAST,KAJIADO
INGOSTSE-MATHIA,NAVAKHOLO,KAKAMEGA
INOI,KIRINYAGA CENTRAL,KIRINYAGA
IRIAINI,MATHIRA,NYERI
IRIA-INI,OTHAYA,NYERI
ISIBANIA,KURIA WEST,MIGORI
ISUKHA CENTRAL,SHINYALU,KAKAMEGA
ISUKHA EAST,SHINYALU,KAKAMEGA
ISUKHA NORTH,SHINYALU,KAKAMEGA
ISUKHA SOUTH,SHINYALU,KAKAMEGA
ISUKHA WEST,SHINYALU,KAKAMEGA
ITHANGA,GATANGA,MURANG'A
ITHIRU,KANDARA,MURANG'A
ITIBO,NORTH MUGIRANGO,NYAMIRA
IVINGONI/NZAMBANI,KIBWEZI EAST,MAKUENI
JARA JARA,BALAMBALA,GARISSA
JARAJILA,FAFI,GARISSA
JARIBUNI,GANZE,KILIFI
JEPKOYAI,HAMISI,VIHIGA
JILORE,MALINDI,KILIFI
JOMVU KUU,JOMVU,MOMBASA
JUJA,JUJA,KIAMBU
JUNDA,KISAUNI,MOMBASA
JUNJU,KILIFI SOUTH,KILIFI
KAALENG/KAIKOR,TURKANA NORTH,TURKANA
KABARE,GICHUGU,KIRINYAGA
KABARNET,BARINGO CENTRAL,BARINGO
KABARTONJO,BARINGO NORTH,BARINGO
KABARU,KIENI,NYERI
KABATINI,BAHATI,NAKURU
KABAZI,SUBUKIA,NAKURU
KABETE,KABETE,KIAMBU
KABIANGA,BELGUT,KERICHO
KABIEMIT,KEIYO SOUTH,ELGEYO-MARAKWET
KABIRO,DAGORETTI SOUTH,NAIROBI
KABISAGA,MOSOP,NANDI
KABIYET,MOSOP,NANDI
KABONDO EAST,KABONDO KASIPUL,HOMA BAY
KABONDO WEST,KABONDO KASIPUL,HOMA BAY
KABONYO/KANYAGWAL,NYANDO,KISUMU
KABUCHAI/CHWELE,KABUCHAI,BUNGOMA
KABULA,BUMULA,BUNGOMA
KABUOCH NORTH,NDHIWA,HOMA BAY
KABUOCH SOUTH/PALA,NDHIWA,HOMA BAY
KABWARENG,ALDAI,NANDI
KACHIEN'G,NYATIKE,MIGORI
KADZANDANI,NYALI,MOMBASA
KAERIS,TURKANA NORTH,TURKANA
KAGAARI NORTH,RUNYENJES,EMBU
KAGAARI SOUTH,RUNYENJES,EMBU
KAGAN,RANGWE,HOMA BAY
KAGUNDU-INI,KANDARA,MURANG'A
KAHAWA,ROYSAMBU,NAIROBI
KAHAWA WEST,ROYSAMBU,NAIROBI
KAHUMBU,KIGUMO,MURANG'A
KAIMBAGA,OL KALOU,NYANDARUA
KAJULU,KISUMU EAST,KISUMU
KAKRAO,SUNA EAST,MIGORI
KAKSINGRI WEST,SUBA,HOMA BAY
KAKUMA,TURKANA WEST,TURKANA
KAKUYUNI,MALINDI,KILIFI
KAKUZI/MITUBIRI,GATANGA,MURANG'A
KALAMA,MACHAKOS TOWN,MACHAKOS
KALAPATA,TURKANA SOUTH,TURKANA
KALAWA,MBOONI,MAKUENI
KALER,NYATIKE,MIGORI
KALIMONI,JUJA,KIAMBU
KALOBEYEI,TURKANA WEST,TURKANA
KALOKOL,TURKANA CENTRAL,TURKANA
KALOLENI,KALOLENI,KILIFI
KALOLENI,VOI,TAITA TAVETA
KAMACHARIA,MATHIOYA,MURANG'A
KAMAGUT,TURBO,UASIN GISHU
KAMAHUHA,MARAGWA,MURANG'A
KAMAKWA/MUKARO,NYERI TOWN,NYERI
KAMARA,KURESOI NORTH,NAKURU
KAMARINY,KEIYO NORTH,ELGEYO-MARAKWET
KAMASIAN,KIPKELION WEST,KERICHO
KAMBE/RIBE,RABAI,KILIFI
KAMBITI,MARAGWA,MURANG'A
KAMBURU,LARI,KIAMBU
KAMENU,THIKA TOWN,KIAMBU
KAMUKUYWA,KIMILILI,BUNGOMA
KANAMKEMER,TURKANA CENTRAL,TURKANA
KANGAI,MWEA,KIRINYAGA
KANGARI,KIGUMO,MURANG'A
KANG'ATOTHA,TURKANA CENTRAL,TURKANA
KANGEMI,WESTLANDS,NAIROBI
KANGETA,IGEMBE CENTRAL,MERU
KANGUNDO CENTRAL,KANGUNDO,MACHAKOS
KANGUNDO EAST,KANGUNDO,MACHAKOS
KANGUNDO NORTH,KANGUNDO,MACHAKOS
KANGUNDO WEST,KANGUNDO,MACHAKOS
KANJUIRI RANGE,OL KALOU,NYANDARUA
KANUNI,IGEMBE SOUTH,MERU
KANYADOTO,NDHIWA,HOMA BAY
KANYALUO,KARACHUONYO,HOMA BAY
KANYAMWA KOLOGI,NDHIWA,HOMA BAY
KANYAMWA KOSEWE,NDHIWA,HOMA BAY
KANYANGI,KITUI RURAL,KITUI
KANYASA,NYATIKE,MIGORI
