WARD NAME,CONSTITUENCY,COUNTY NAME
KANYEKINI,KIRINYAGA CENTRAL,KIRINYAGA
KANYENYA-INI,KANGEMA,MURANG'A
KANYIKELA,NDHIWA,HOMA BAY
KANZIKO,KITUI SOUTH,KITUI
KAPCHEMUTWA,KEIYO NORTH,ELGEYO-MARAKWET
KAPCHOK,KACHELIBA,WEST POKOT
KAPCHORUA,NANDI HILLS,NANDI
KAPEDO/NAPEITOM,TURKANA EAST,TURKANA
KAPENGURIA,KAPENGURIA,WEST POKOT
KAPKANGANI,EMGWEN,NANDI
KAPKATENY,MT. ELGON,BUNGOMA
KAPKATET,BURETI,KERICHO
KAPKUGERWET,AINAMOI,KERICHO
KAPKURES,NAKURU TOWN WEST,NAKURU
KAPKURES,SOY,UASIN GISHU
KAPLAMAI,CHERANGANY,TRANS NZOIA
KAPLELARTET,SIGOWET/SOIN,KERICHO
KAPLETUNDO,SOTIK,BOMET
KAPOMBOI,KWANZA,TRANS NZOIA
KAPROPITA,BARINGO CENTRAL,BARINGO
KAPSABET,EMGWEN,NANDI
KAPSAOS,AINAMOI,KERICHO
KAPSAOS,TURBO,UASIN GISHU
KAPSASIAN,EMURUA DIKIRR,NAROK
KAPSIMOTWO,TINDERET,NANDI
KAPSOIT,AINAMOI,KERICHO
KAPSOWAR,MARAKWET WEST,ELGEYO-MARAKWET
KAPSOYA,AINABKOI,UASIN GISHU
KAPSUSER,BELGUT,KERICHO
KAPTAGAT,AINABKOI,UASIN GISHU
KAPTAMA,MT. ELGON,BUNGOMA
KAPTARAKWA,KEIYO SOUTH,ELGEYO-MARAKWET
KAPTEL/KAMOIYWO,CHESUMEI,NANDI
KAPTEMBWO,NAKURU TOWN WEST,NAKURU
KAPTUMO-KABOI,ALDAI,NANDI
KAPUTIEI NORTH,KAJIADO EAST,KAJIADO
KAPUTIR,TURKANA SOUTH,TURKANA
KAPYEGO,MARAKWET EAST,ELGEYO-MARAKWET
KARAI,KIKUYU,KIAMBU
KARAMA,TIGANIA EAST,MERU
KARARE,SAKU,MARSABIT
KARATINA TOWN,MATHIRA,NYERI
KARAU,OL KALOU,NYANDARUA
KAREN,LANGATA,NAIROBI
KARGI/SOUTH HORR,LAISAMIS,MARSABIT
KARIARA,GATANGA,MURANG'A
KARIMA,OTHAYA,NYERI
KARINGANI,CHUKA/IGAMBANG'OMBE,THARAKA-NITHI
KARIOBANGI NORTH,EMBAKASI NORTH,NAIROBI
KARIOBANGI SOUTH,EMBAKASI WEST,NAIROBI
KARITI,NDIA,KIRINYAGA
KARUMANDI,GICHUGU,KIRINYAGA
KARUNA/MEIBEKI,MOIBEN,UASIN GISHU
KARURA,WESTLANDS,NAIROBI
KARURI,KIAMBAA,KIAMBU
KASARANI,KASARANI,NAIROBI
KASEI,KACHELIBA,WEST POKOT
KASGUNGA,MBITA,HOMA BAY
KASIGAU,VOI,TAITA TAVETA
KASIKEU,KILOME,MAKUENI
KATANGI,YATTA,MACHAKOS
KATHIANI CENTRAL,KATHIANI,MACHAKOS
KATHONZWENI,MAKUENI,MAKUENI
KATILIA,TURKANA EAST,TURKANA
KATILU,TURKANA SOUTH,TURKANA
KAUWI,KITUI WEST,KITUI
KAWANGWARE,DAGORETTI SOUTH,NAIROBI
KAYAFUNGO,KALOLENI,KILIFI
KAYOLE CENTRAL,EMBAKASI CENTRAL,NAIROBI
KAYOLE NORTH,EMBAKASI CENTRAL,NAIROBI
KAYOLE SOUTH,EMBAKASI CENTRAL,NAIROBI
KEDOWA/KIMUGUL,KIPKELION EAST,KERICHO
KEE,KAITI,MAKUENI
KEEKONYOKIE,KAJIADO WEST,KAJIADO
KEEKONYOKIE,NAROK EAST,NAROK
KEGOGI,KITUTU CHACHE NORTH,KISII
KEIYO,KWANZA,TRANS NZOIA
KEMBU,BOMET EAST,BOMET
KEMELOI-MARABA,ALDAI,NANDI
KEMERA,KITUTU MASABA,NYAMIRA
KENDU BAY TOWN,KARACHUONYO,HOMA BAY
KENYAWA-POKA,KAJIADO EAST,KAJIADO
KERINGET,KURESOI SOUTH,NAKURU
KERIO DELTA,TURKANA CENTRAL,TURKANA
KERUGOYA,KIRINYAGA CENTRAL,KIRINYAGA
KEUMBU,NYARIBARI CHACHE,KISII
KEYIAN,KILGORIS,NAROK
KHALABA,KANDUYI,BUNGOMA
KHALABA,MATUNGU,KAKAMEGA
KHALALIO,MANDERA EAST,MANDERA
KHASOKO,BUMULA,BUNGOMA
KHOLERA,MATUNGU,KAKAMEGA
KHOROF/HARAR,WAJIR EAST,WAJIR
KIABONYORU,BORABU,NYAMIRA
KIAGU,BUURI,MERU
KIAMAIKO,MATHARE,NAIROBI
KIAMAINA,BAHATI,NAKURU
KIAMBERE,MBEERE SOUTH,EMBU
KIAMOKAMA,NYARIBARI MASABA,KISII
KIAMWANGI,GATUNDU SOUTH,KIAMBU
KIANJAI,TIGANIA WEST,MERU
KIBARANI,KILIFI NORTH,KILIFI
KIBAUNI,MWALA,MACHAKOS
KIBINGEI,KIMILILI,BUNGOMA
KIBIRI,KARACHUONYO,HOMA BAY
KIBIRICHIA,BUURI,MERU
KIBISH,TURKANA NORTH,TURKANA
KIEGOI/ANTUBOCHIU,IGEMBE SOUTH,MERU
KIGANJO,GATUNDU SOUTH,KIAMBU
KIGANJO/MATHARI,NYERI TOWN,NYERI
KIGUCHWA,TIGANIA EAST,MERU
KIGUMO,KIGUMO,MURANG'A
KIHARA,KIAMBAA,KIAMBU
KIHINGO,NJORO,NAKURU
KIHUMBU-INI,GATANGA,MURANG'A
KIIMA KIU/KALANZONI,KILOME,MAKUENI
KIINE,NDIA,KIRINYAGA
KIIRUA/NAARI,BUURI,MERU
KIJABE,LARI,KIAMBU
KIKUMBULYU NORTH,KIBWEZI WEST,MAKUENI
KIKUMBULYU SOUTH,KIBWEZI WEST,MAKUENI
KIKUYU,KIKUYU,KIAMBU
KILELESHWA,DAGORETTI NORTH,NAIROBI
KILGORIS CENTRAL,KILGORIS,NAROK
KILIBWONI,EMGWEN,NANDI
KILIMANI,DAGORETTI NORTH,NAIROBI
KILIWEHIRI,BANISSA,MANDERA
KILUNGU,KAITI,MAKUENI
KIMAETI,BUMULA,BUNGOMA
KIMANA,KAJIADO SOUTH,KAJIADO
KIMILILI,KIMILILI,BUNGOMA
KIMININI,KIMININI,TRANS NZOIA
KIMINTET,KILGORIS,NAROK
KIMORORI/WEMPA,MARAGWA,MURANG'A
KIMULOT,KONOIN,KONOIN
KIMUMU,MOIBEN,UASIN GISHU
KINAKOMBA,GALOLE,TANA RIVER
KINALE,LARI,KIAMBU
KINANGO,KINANGO,KWALE
KINANIE,MAVOKO,MACHAKOS
KINGANDOLE,BUTULA,BUSIA
KINNA,ISIOLO SOUTH,ISIOLO
KINONDO,MSAMBWENI,KWALE
KINOO,KIKUYU,KIAMBU
KINYONA,KIGUMO,MURANG'A
KINYORO,SABOTI,TRANS NZOIA
KIOGORO,NYARIBARI CHACHE,KISII
KIOMO/KYETHANI,MWINGI CENTRAL,KITUI
KIPCHEBOR,AINAMOI,KERICHO
KIPCHIMCHIM,AINAMOI,KERICHO
KIPEVU,CHANGAMWE,MOMBASA
KIPINI EAST,GARSEN,TANA RIVER
KIPINI WEST,GARSEN,TANA RIVER
KIPIPIRI,KIPIPIRI,NYANDARUA
KIPKAREN,MOSOP,NANDI
KIPKELION,KIPKELION WEST,KERICHO
KIPKENYO,KAPSERET,UASIN GISHU
KIPLOMBE,TURBO,UASIN GISHU
KIPRERES,BOMET EAST,BOMET
KIPSOMBA,SOY,UASIN GISHU
KIPSONOI,SOTIK,BOMET
KIPTAGICH,KURESOI SOUTH,NAKURU
KIPTORORO,KURESOI NORTH,NAKURU
KIPTUYA,CHESUMEI,NANDI
KIRIITA,NDARAGWA,NYANDARUA
KIRIMARI,MANYATTA,EMBU
KIRIMUKUYU,MATHIRA,NYERI
KIRU,MATHIOYA,MURANG'A
KISA CENTRAL,KHWISERO,KAKAMEGA
KISA EAST,KHWISERO,KAKAMEGA
KISA NORTH,KHWISERO,KAKAMEGA
KISA WEST,KHWISERO,KAKAMEGA
KISANANA,MOGOTIO,BARINGO
KISASI,KITUI RURAL,KITUI
KISIARA,BURETI,KERICHO
KISII CENTRAL,NYARIBARI CHACHE,KISII
KISIMA,BUURI,MERU
KISUMU NORTH,KISUMU WEST,KISUMU
KITENGELA,KAJIADO EAST,KAJIADO
KITETA/KISAU,MBOONI,MAKUENI
KITHIMANI,YATTA,MACHAKOS
KITHIMU,MANYATTA,EMBU
KITHUNGO/KITUNDU,MBOONI,MAKUENI
KITISE/KITHUKI,MAKUENI,MAKUENI
KITISURU,WESTLANDS,NAIROBI
KITUTU   CENTRAL,KITUTU CHACHE SOUTH,KISII
KIUNGA,LAMU EAST,LAMU
KIUU,RUIRU,KIAMBU
KIVAA,MASINGA,MACHAKOS
KIVOU,MWINGI CENTRAL,KITUI
KIVUMBINI,NAKURU TOWN EAST,NAKURU
KIWAWA,KACHELIBA,WEST POKOT
KOBUJOI,ALDAI,NANDI
KOBURA,NYANDO,KISUMU
KOCHIA,RANGWE,HOMA BAY
KODICH,KACHELIBA,WEST POKOT
KOIBATEK,ELDAMA RAVINE,BARINGO
KOJWACH,KABONDO KASIPUL,HOMA BAY
KOKWANYO/KAKELO,KABONDO KASIPUL,HOMA BAY
KOLA,MACHAKOS TOWN,MACHAKOS
KOLOWA,TIATY,BARINGO
KOLWA CENTRAL,KISUMU EAST,KISUMU
KOLWA EAST,KISUMU EAST,KISUMU
KOMAROCK,EMBAKASI CENTRAL,NAIROBI
KOMOTHAI,GITHUNGURI,KIAMBU
KONDELE,KISUMU CENTRAL,KISUMU
KONG'ASIS,CHEPALUNGU,BOMET
KONGONI,LIKUYANI,KAKAMEGA
KONGOWEA,NYALI,MOMBASA
KONYU,MATHIRA,NYERI
KOROGOCHO,RUARAKA,NAIROBI
KORONDILE,WAJIR NORTH,WAJIR
KORR/NGURUNIT,LAISAMIS,MARSABIT
KOSIRAI,CHESUMEI,NANDI
KOTARUK/LOBEI,LOIMA,TURKANA
KOYO-NDURIO,ALDAI,NANDI
KOYONZO,MATUNGU,KAKAMEGA
KUBO SOUTH,MATUGA,KWALE
KUINET/KAPSUSWA,SOY,UASIN GISHU
KUKU,KAJIADO SOUTH,KAJIADO
KUNYAK,KIPKELION WEST,KERICHO
KURGUNG/SURUNGAI,MOSOP,NANDI
KUTULO,MANDERA SOUTH,MANDERA
KWA,SUNA EAST,MIGORI
KWA MUTONGA/KITHUMULA,KITUI WEST,KITUI
KWA NJENGA,EMBAKASI SOUTH,NAIROBI
KWA REUBEN,EMBAKASI SOUTH,NAIROBI
KWABWAI,NDHIWA,HOMA BAY
KWANZA,KWANZA,TRANS NZOIA
KWARE,EMBAKASI SOUTH,NAIROBI
KWAVONZA/YATTA,KITUI RURAL,KITUI
KYANGWITHYA EAST,KITUI CENTRAL,KITUI
KYANGWITHYA WEST,KITUI CENTRAL,KITUI
KYELENI,MATUNGULU,MACHAKOS
KYENI NORTH,RUNYENJES,EMBU
KYENI SOUTH,RUNYENJES,EMBU
KYOME/THAANA,MWINGI WEST,KITUI
KYUSO,MWINGI NORTH,KITUI
LABASIGALE,DAADAB,GARISSA
LAFEY,LAFEY,MANDERA
LAGBOGHOL SOUTH,WAJIR SOUTH,WAJIR
LAGSURE,MANDERA WEST,MANDERA
LAINI SABA,KIBRA,NAIROBI
LAISAMIS,LAISAMIS,MARSABIT
LAKE VIEW,NAIVASHA,NAKURU
LAKE ZONE,TURKANA NORTH,TURKANA
LAKOLEY SOUTH/BASIR,ELDAS,WAJIR
LAMBWE,MBITA,HOMA BAY
LANDIMAWE,STAREHE,NAIROBI
LANET/UMOJA,BAHATI,NAKURU
LANGAS,KAPSERET,UASIN GISHU
LAPUR,TURKANA NORTH,TURKANA
LARE,NJORO,NAKURU
LARI/KIRENGA,LARI,KIAMBU
LELAN,POKOT SOUTH,WEST POKOT
LELMOKWO/NGECHEK,CHESUMEI,NANDI
LEMBUS,ELDAMA RAVINE,BARINGO
LEMBUS KWEN,ELDAMA RAVINE,BARINGO
LEMBUS/PERKERRA,ELDAMA RAVINE,BARINGO
LESHAU/PONDO,NDARAGWA,NYANDARUA
LETEA,TURKANA WEST,TURKANA
LIBEHIA,LAFEY,MANDERA
LIBOI,DAADAB,GARISSA
LIKONI,LIKONI,MOMBASA
LIKUYANI,LIKUYANI,KAKAMEGA
LIMURU CENTRAL,LIMURU,KIAMBU
LIMURU EAST,LIMURU,KIAMBU
LINDI,KIBRA,NAIROBI
LITEIN,BURETI,KERICHO
LOBOKAT,TURKANA SOUTH,TURKANA
LODOKEJEK,SAMBURU WEST,SAMBURU
LODWAR TOWNSHIP,TURKANA CENTRAL,TURKANA
LOGO LOGO,LAISAMIS,MARSABIT
LOIMA,LOIMA,TURKANA
LOITA,NAROK SOUTH,NAROK
LOIYAMOROCK,TIATY,BARINGO
LOIYANGALANI,LAISAMIS,MARSABIT
LOKICHAR,TURKANA SOUTH,TURKANA
LOKICHOGGIO,TURKANA WEST,TURKANA
LOKIRIAMA/LORENGIPPI,LOIMA,TURKANA
LOKORI/KOCHODIN,KAPENGURIA,WEST POKOT
LOLGORIAN,KILGORIS,NAROK
LOMUT,SIGOR,WEST POKOT
LONDIANI,KIPKELION EAST,KERICHO
LONDON,NAKURU TOWN EAST,NAKURU
LONGISA,BOMET EAST,BOMET
LOOSUK,SAMBURU WEST,SAMBURU
LOPUR,TURKANA WEST,TURKANA
LOWER KAEWA/KAANI,KATHIANI,MACHAKOS
LOWER SAVANNAH,EMBAKASI EAST,NAIROBI
LUANDA SOUTH,LUANDA,VIHIGA
LUANDA TOWNSHIP,LUANDA,VIHIGA
LUCKY SUMMER,RUARAKA,NAIROBI
LUGAGA-WAMULUMA,VIHIGA,VIHIGA
LUGARI,LUGARI,KAKAMEGA
LUMAKANDA,LUGARI,KAKAMEGA
LUSHEYA/LUBINU,MUMIAS EAST,KAKAMEGA
LWANDANYI,SIRISIA,BUNGOMA
LWANDETI,LUGARI,KAKAMEGA
LYADUYWA/IZAVA,SABATIA,VIHIGA
MAALIMIN,LAGDERA,GARISSA
MABATINI,MATHARE,NAIROBI
MACALDER/KANYARWANDA,NYATIKE,MIGORI
MACHAKOS CENTRAL,MACHAKOS TOWN,MACHAKOS
MACHEWA,SABOTI,TRANS NZOIA
MACKINNON ROAD,KINANGO,KWALE
MADOGO,BURA,TANA RIVER
MAENI,KIMILILI,BUNGOMA
MAGADI,KAJIADO WEST,KAJIADO
MAGARINI,MAGARINI,KILIFI
MAGENCHE,BOMACHOGE BORABU,KISII
MAGOGONI,KISAUNI,MOMBASA
MAGOMBO,KITUTU MASABA,NYAMIRA
MAGUMONI,CHUKA/IGAMBANG'OMBE,THARAKA-NITHI
MAGUMU,KINANGOP,NYANDARUA
MAGUTU,MATHIRA,NYERI
MAGWAGWA,NORTH MUGIRANGO,NYAMIRA
MAHIAKALO,LURAMBI,KAKAMEGA
MAHIGA,OTHAYA,NYERI
MAHOO,TAVETA,TAITA TAVETA
MAI MAHIU,NAIVASHA,NAKURU
MAIELLA,NAIVASHA,NAKURU
MAIKONA,NORTH HORR,MARSABIT
MAJENGO,MVITA,MOMBASA
MAJIMOTO/NAROOSURA,NAROK SOUTH,NAROK
MAJOGE BASI,BOMACHOGE CHACHE,KISII
MAKERERO,KURIA WEST,MIGORI
MAKIMA,MBEERE SOUTH,EMBU
MAKINA,KIBRA,NAIROBI
MAKINDU,KIBWEZI WEST,MAKUENI
MAKONGENI,MAKADARA,NAIROBI
MAKUTANO,CHERANGANY,TRANS NZOIA
MAKUTANO/ MWALA,MWALA,MACHAKOS
MAKUYU,MARAGWA,MURANG'A
MALABA CENTRAL,TESO NORTH,BUSIA
MALABA NORTH,TESO NORTH,BUSIA
MALABA SOUTH,TESO NORTH,BUSIA
MALAHA/ISONGO/MAKUNGA,MUMIAS EAST,KAKAMEGA
MALAKISI/SOUTH KULISIRU,SIRISIA,BUNGOMA
MALEWA WEST,GILGIL,NAKURU
MALINDI TOWN,MALINDI,KILIFI
MALKAGUFU,WAJIR NORTH,WAJIR
MALKAMARI,BANISSA,MANDERA
MANDA-SHIVANGA,MALAVA,KAKAMEGA
MANGA,KITUTU MASABA,NYAMIRA
MANG'U,GATUNDU NORTH,KIAMBU
MANYATTA 'B',KISUMU EAST,KISUMU
MARA,NAROK WEST,NAROK
MARACHI CENTRAL,BUTULA,BUSIA
MARACHI EAST,BUTULA,BUSIA
MARACHI NORTH,BUTULA,BUSIA
MARACHI WEST,BUTULA,BUSIA
MARAFA,MAGARINI,KILIFI
MARAKA,WEBUYE EAST,BUNGOMA
MARAKARU/TUUTI,KANDUYI,BUNGOMA
MARALAL,SAMBURU WEST,SAMBURU
MARAMA CENTRAL,BUTERE,KAKAMEGA
MARAMA NORTH,BUTERE,KAKAMEGA
MARAMA SOUTH,BUTERE,KAKAMEGA
MARAMA WEST,BUTERE,KAKAMEGA
MARANI,KITUTU CHACHE NORTH,KISII
MARENYO - SHIANDA,BUTERE,KAKAMEGA
MARIAKANI,KALOLENI,KILIFI
MARIANI,CHUKA/IGAMBANG'OMBE,THARAKA-NITHI
MARIASHONI,MOLO,NAKURU
MARIGAT,BARINGO SOUTH,BARINGO
MARIMANTI,THARAKA,THARAKA-NITHI
MARINGO/HAMZA,MAKADARA,NAIROBI
MARKET MILIMANI,KISUMU CENTRAL,KISUMU
MARMANET,LAIKIPIA WEST,LAIKIPIA
MARSABIT CENTRAL,SAKU,MARSABIT
MARUNGU,VOI,TAITA TAVETA
MASABA,KURIA WEST,MIGORI
MASALANI,IJARA,GARISSA
MASIGE EAST,BOBASI,KISII
MASIGE WEST,BOBASI,KISII
MASII,MWALA,MACHAKOS
MASIMBA,NYARIBARI MASABA,KISII
MASINGA CENTRAL,MASINGA,MACHAKOS
MASOGO/NYANG'OMA,MUHORONI,KISUMU
MASONGALENI,KIBWEZI EAST,MAKUENI
MASOOL,SIGOR,WEST POKOT
MATA,TAVETA,TAITA TAVETA
MATAPATO NORTH,KAJIADO CENTRAL,KAJIADO
MATAPATO SOUTH,KAJIADO CENTRAL,KAJIADO
MATAYOS SOUTH,MATAYOS,BUSIA
MATHARE NORTH,RUARAKA,NAIROBI
MATINYANI,KITUI WEST,KITUI
MATISI,SABOTI,TRANS NZOIA
MATOPENI/SPRING VALLEY,EMBAKASI CENTRAL,NAIROBI
MATSANGONI,KILIFI NORTH,KILIFI
MATULO,WEBUTE WEST,BUNGOMA
MATUMBEI,ENDEBESS,TRANS NZOIA
MATUNGULU EAST,MATUNGULU,MACHAKOS
MATUNGULU NORTH,MATUNGULU,MACHAKOS
MATUNGULU WEST,MATUNGULU,MACHAKOS
MATUU,YATTA,MACHAKOS
MAU NAROK,NJORO,NAKURU
MAUA,IGEMBE SOUTH,MERU
MAUCHE,NJORO,NAKURU
MAUTUMA,LUGARI,KAKAMEGA
MAVINDINI,MAKUENI,MAKUENI
MAVURIA,MBEERE SOUTH,EMBU
MAYENJE,MATAYOS,BUSIA
MAYONI,MATUNGU,KAKAMEGA
MBAKALO,TONGAREN,BUNGOMA
MBARUK/EBURU,GILGIL,NAKURU
MBETI NORTH,MANYATTA,EMBU
MBETI SOUTH,MBEERE SOUTH,EMBU
MBEU,TIGANIA WEST,MERU
MBIRI,KIHARU,MURANG'A
MBIRIKANI/ESELENKEI,KAJIADO SOUTH,KAJIADO
MBITINI,KITUI RURAL,KITUI
MBITINI,MAKUENI,MAKUENI
MBIUNI,MWALA,MACHAKOS
MBOGHONI,TAVETA,TAITA TAVETA
MBOLOLO,VOI,TAITA TAVETA
MBOONI,MBOONI,MAKUENI
MEGUN,KAPSERET,UASIN GISHU
MEKENENE,BORABU,NYAMIRA
MELELO,NAROK SOUTH,NAROK
MELILI,NAROK NORTH,NAROK
MENENGAI,NAKURU TOWN EAST,NAKURU
MENENGAI WEST,RONGAI,NAKURU
MERIGI,BOMET EAST,BOMET
METKEI,KEIYO SOUTH,ELGEYO-MARAKWET
MFANGANO ISLAND,MBITA,HOMA BAY
MIAMBANI,KITUI CENTRAL,KITUI
MIGOSI,KISUMU CENTRAL,KISUMU
MIGWANI,MWINGI WEST,KITUI
MIHANGO,EMBAKASI EAST,NAIROBI
MIHUU,WEBUYE EAST,BUNGOMA
MIKINDANI,JOMVU,MOMBASA
MIKINDUNI,GALOLE,TANA RIVER
MIKINDURI,TIGANIA EAST,MERU
MILIMA,TONGAREN,BUNGOMA
MIRANGINE,OL KALOU,NYANDARUA
MIRITINI,JOMVU,MOMBASA
MISIKHU,WEBUTE WEST,BUNGOMA
MITABONI,KATHIANI,MACHAKOS
MITHERU,MAARA,THARAKA-NITHI
MITUNGUU,SOUTH IMENTI,MERU
MIWANI,MUHORONI,KISUMU
MJAMBERE,KISAUNI,MOMBASA
MJI WA KALE/MAKADARA,MVITA,MOMBASA
MKOMANI,LAMU WEST,LAMU
MKOMANI,NYALI,MOMBASA
MKONGANI,MATUGA,KWALE
MKUNUMBI,LAMU WEST,LAMU
MLANGO KUBWA,MATHARE,NAIROBI
MNAGEI,KAPENGURIA,WEST POKOT
MNARANI,KILIFI NORTH,KILIFI
MOCHONGOI,BARINGO SOUTH,BARINGO
MODOGASHE,LAGDERA,GARISSA
MOGOGOSIEK,KONOIN,KONOIN
MOGONDO,EMURUA DIKIRR,NAROK
MOGOTIO,MOGOTIO,BARINGO
MOIBEN,MOIBEN,UASIN GISHU
MOIBEN/KUSERWO,MARAKWET WEST,ELGEYO-MARAKWET
MOI'S BRIDGE,SOY,UASIN GISHU
MOLO,MOLO,NAKURU
MONYERERO,KITUTU CHACHE NORTH,KISII
MOROTHILE,MANDERA NORTH,MANDERA
MOSIRO,KAJIADO WEST,KAJIADO
MOSIRO,NAROK EAST,NAROK
MOSOP,RONGAI,NAKURU
MOTICHO,SOUTH MUGIRANGO,KISII
MOTOSIET,CHERANGANY,TRANS NZOIA
MOUNTAIN VIEW,WESTLANDS,NAIROBI
MOWLEM,EMBAKASI WEST,NAIROBI
MOYALE TOWNSHIP,MOYALE,MARSABIT
MTEPENI,KILIFI SOUTH,KILIFI
MTITO ANDEI,KIBWEZI EAST,MAKUENI
MTONGWE,LIKONI,MOMBASA
MTOPANGA,KISAUNI,MOMBASA
MUA,MACHAKOS TOWN,MACHAKOS
MUCHATHA,KIAMBAA,KIAMBU
